Epoch,Good_layer,Ditch,Crater,Waves
10,53.54,50.0,86.61,96.06
20,86.61,94.09,88.98,96.06
30,89.76,93.7,90.94,99.61
40,87.4,96.06,86.61,99.61
50,87.8,92.13,91.73,99.61
60,88.19,95.28,89.76,99.61
70,88.19,94.09,90.55,99.61
80,87.8,94.49,89.76,99.61
90,88.98,93.7,90.16,99.21
100,90.16,94.49,90.16,99.61
110,88.98,95.28,89.76,100.0
120,90.55,94.09,91.34,99.61
130,87.8,94.88,88.19,99.61
140,88.58,95.67,89.37,99.61
150,88.98,94.88,90.16,100.0
