Epoch,Good_layer,Ditch,Crater,Waves
10,83.46,92.13,85.83,94.09
20,92.13,94.09,91.73,99.61
30,89.37,95.28,90.94,100.0
40,88.98,95.67,88.58,100.0
50,89.37,93.31,90.55,98.82
60,89.37,95.28,90.55,99.61
70,89.76,95.28,89.37,99.21
80,91.34,95.67,92.13,100.0
90,88.58,92.91,90.55,100.0
100,90.94,94.09,91.73,100.0
110,90.16,94.49,89.76,100.0
120,90.16,94.49,90.94,100.0
130,89.76,95.28,90.94,99.21
140,90.16,94.09,92.91,99.61
150,89.37,94.09,90.94,99.61
