Epoch,Good_layer,Ditch,Crater,Waves
10,83.46,93.7,85.04,100.0
20,87.4,88.19,83.86,99.61
30,87.01,94.09,88.19,100.0
40,88.58,94.49,87.8,100.0
50,88.58,94.09,88.19,100.0
60,88.58,94.88,89.37,100.0
70,87.4,94.09,87.4,100.0
80,87.8,94.49,87.8,100.0
90,88.58,94.49,88.19,100.0
100,88.19,94.88,88.58,100.0
110,87.4,92.52,87.01,100.0
120,88.98,94.88,89.37,100.0
130,87.8,94.49,88.58,100.0
140,88.98,94.49,88.98,100.0
150,87.8,94.49,88.19,100.0
