Epoch,Good_layer,Ditch,Crater,Waves
10,88.58,90.16,89.76,99.21
20,88.19,95.28,90.55,96.06
30,88.98,93.7,91.34,98.82
40,87.4,93.31,90.16,99.21
50,87.4,92.13,87.01,99.21
60,88.98,92.91,90.16,99.21
70,90.94,96.06,89.76,99.21
80,88.58,94.09,89.76,99.61
90,88.58,94.49,88.58,98.82
100,87.8,93.7,87.01,99.21
110,85.83,93.31,87.4,99.61
120,87.01,94.88,88.98,99.21
130,88.58,94.88,90.55,99.61
140,87.8,94.09,88.58,99.61
150,87.01,93.7,88.19,99.21
