Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.6033508051664401,28.370786516853936,,
2,0.49768547560924137,51.96629213483146,,
3,0.4200479976641826,65.00802568218299,,
4,0.37146172920862836,71.42857142857143,,
5,0.33597506773777497,75.28089887640449,,
6,0.3065982982516289,77.92937399678974,,
7,0.2856591068781339,77.80898876404494,,
8,0.26665717439773756,78.69181380417335,,
9,0.25296590954829484,79.17335473515249,,
10,0.23610701450170615,79.65489566613162,,
10,0.23610701450170615,79.65489566613162,79.92125984251969,0.22355367243289948
11,0.22387153043960914,80.6179775280899,,
12,0.21484376050722906,81.62118780096309,,
13,0.20709030826886496,82.02247191011236,,
14,0.20271862794955572,83.10593900481541,,
15,0.19965387183504227,82.14285714285714,,
16,0.19660159448782602,82.54414125200643,,
17,0.19504483913381895,81.86195826645265,,
18,0.18868420244409487,82.98555377207063,,
