Epoch,Good_layer,Ditch,Crater,Waves
10,85.43,94.09,86.61,99.21
20,84.65,96.46,87.01,99.61
30,88.58,94.49,87.4,100.0
40,87.4,94.88,88.19,100.0
50,88.58,95.28,88.58,100.0
60,88.19,93.7,89.37,100.0
70,88.19,93.31,88.98,100.0
80,87.8,95.67,88.98,100.0
90,88.58,96.06,89.37,100.0
100,87.01,92.52,88.58,100.0
110,87.4,92.91,88.19,100.0
120,87.8,95.67,88.98,100.0
130,87.8,95.28,89.37,100.0
140,88.19,94.88,89.37,100.0
150,87.8,95.67,89.37,100.0
