Epoch,Good_layer,Ditch,Crater,Waves
10,93.7,91.73,92.52,100.0
20,92.52,94.49,93.7,99.21
30,90.94,94.88,92.91,99.21
40,90.55,94.09,90.94,99.61
50,92.91,92.52,91.34,100.0
60,92.52,95.28,92.91,100.0
70,90.16,94.49,92.13,99.61
80,89.37,93.7,91.34,99.61
90,90.55,95.28,90.94,99.61
100,91.73,93.31,91.73,99.61
110,90.94,93.7,92.91,99.61
120,90.16,94.49,92.52,99.61
130,91.34,94.49,90.16,100.0
140,90.94,94.49,90.55,98.82
150,89.76,92.91,91.73,100.0
