Epoch,Good_layer,Ditch,Crater,Waves
10,56.3,71.26,74.41,92.91
20,88.58,93.7,90.94,98.82
30,85.43,94.88,90.55,98.43
40,89.37,94.49,92.13,97.64
50,90.16,96.06,90.94,100.0
60,87.8,94.09,91.34,99.61
70,89.37,94.88,92.52,98.43
80,86.61,95.28,88.58,99.21
90,86.61,93.7,92.13,99.61
100,89.76,94.88,92.52,99.61
110,88.98,94.09,90.55,99.61
120,88.58,96.46,91.73,99.61
130,87.8,94.88,90.55,99.21
140,88.19,94.88,92.13,99.61
150,88.19,93.7,89.76,100.0
