Epoch,Good_layer,Ditch,Crater,Waves
10,51.18,58.66,82.68,64.17
20,81.1,94.88,82.28,96.85
30,51.18,70.87,83.46,48.03
40,90.94,94.49,91.73,99.61
50,85.83,89.37,90.55,100.0
60,87.01,89.37,90.55,100.0
70,89.76,94.88,89.76,100.0
80,88.19,92.91,90.55,100.0
90,90.16,94.88,91.34,100.0
100,89.76,93.31,90.94,100.0
110,89.37,93.31,90.94,100.0
120,90.16,93.31,90.94,100.0
130,90.55,94.88,91.73,100.0
140,89.37,92.52,90.94,100.0
150,90.55,94.09,91.34,100.0
