Epoch,Good_layer,Ditch,Crater,Waves
10,85.04,92.91,85.83,98.43
20,87.01,94.09,88.19,99.61
30,86.61,93.7,88.19,98.82
40,89.37,91.34,89.37,99.61
50,88.58,92.52,91.34,100.0
60,89.37,92.52,91.73,98.43
70,90.16,91.34,91.73,99.61
80,90.55,94.09,88.98,98.82
90,90.94,95.28,92.52,99.61
100,90.55,94.49,91.73,99.61
110,92.13,93.31,93.7,99.21
120,88.19,90.94,92.52,99.61
130,89.76,95.67,88.58,99.21
140,92.13,92.52,92.13,100.0
150,87.8,92.13,90.16,99.21
