Epoch,Good_layer,Ditch,Crater,Waves
10,84.25,87.8,86.61,98.43
20,89.76,94.88,89.37,100.0
30,90.94,93.7,90.94,99.61
40,87.4,94.09,88.19,99.21
50,90.94,94.88,91.34,99.21
60,90.16,94.49,90.16,99.21
70,90.94,93.31,93.7,99.21
80,90.55,93.31,92.52,99.21
90,90.94,91.73,90.55,99.61
100,92.91,95.67,90.94,99.61
110,89.37,91.73,91.34,98.82
120,90.94,94.09,89.37,99.61
130,88.58,91.34,90.55,99.61
140,89.76,92.13,90.16,99.21
150,90.55,94.09,90.94,99.61
