Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.42730111877123517,52.889245585874804,,
2,0.263771707430864,73.99678972712681,,
3,0.22440556283944693,76.24398073836277,,
4,0.20140676620679024,77.6083467094703,,
5,0.1801707615646032,80.81861958266452,,
6,0.18407878671319056,79.0529695024077,,
