Epoch,Good_layer,Ditch,Crater,Waves
10,84.65,92.13,86.22,93.31
20,91.34,96.85,89.76,99.61
30,87.01,87.4,90.16,97.64
40,87.4,93.31,91.73,99.21
50,90.16,95.67,89.76,100.0
60,88.58,95.28,90.55,99.21
70,88.58,94.88,90.55,99.21
80,89.37,94.49,90.16,99.61
90,88.98,95.67,89.76,99.61
100,90.55,92.91,91.73,100.0
110,87.8,92.13,90.55,99.21
120,90.16,94.49,90.94,99.61
130,90.16,96.06,91.34,99.61
140,87.8,94.49,90.94,99.21
150,88.19,94.49,88.58,99.61
