Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.3401485515328554,58.14606741573034,,
2,0.19372930836219054,78.81219903691814,,
3,0.17201558586496574,80.97913322632424,,
4,0.16086720999998924,81.74157303370787,,
5,0.15227044598223308,82.78491171749599,,
6,0.14531748369336128,84.1091492776886,,
7,0.13909617181007677,84.79133226324238,,
8,0.12015028054324481,87.68057784911717,,
9,0.12091366354471599,86.51685393258427,,
10,0.12856592395557806,85.35313001605135,,
10,0.12856592395557806,85.35313001605135,74.01574803149606,0.258056728169322
11,0.10643274246309048,88.04173354735153,,
12,0.10316594279347321,88.60353130016051,,
13,0.1040495479813753,88.68378812199037,,
14,0.0882309450982855,90.93097913322632,,
15,0.09715928741468069,90.00802568218299,,
16,0.09403430195286488,89.8876404494382,,
17,0.08139075343616498,92.41573033707866,,
18,0.09162721591882217,91.01123595505618,,
19,0.0931877236192425,89.92776886035313,,
20,0.07843611093285756,91.57303370786516,,
20,0.07843611093285756,91.57303370786516,86.22047244094489,0.13629944063723087
21,0.06973591019423345,92.3354735152488,,
22,0.06694740909509934,93.29855537720707,,
23,0.0702635855294573,92.93739967897271,,
24,0.06758204563401449,93.4991974317817,,
25,0.0646923636802687,93.41894060995185,,
26,0.0524902428763035,94.42215088282504,,
27,0.06248530153280649,93.57945425361156,,
28,0.05406465519888279,95.2247191011236,,
29,0.05445424609411603,94.46227929373997,,
30,0.04653200119112929,95.58587479935795,,
30,0.04653200119112929,95.58587479935795,76.37795275590551,0.26267473492771387
31,0.043067184467919364,95.70626003210273,,
32,0.044162673195107624,95.38523274478331,,
33,0.04092006679051197,96.26805778491172,,
34,0.03998986484172443,95.70626003210273,,
35,0.03704548737583443,96.3884430176565,,
36,0.04110635557952218,95.90690208667738,,
37,0.0422706962383997,95.98715890850723,,
38,0.04010745053155682,95.90690208667738,,
39,0.03702976140910043,96.78972712680579,,
40,0.033148354719369076,96.50882825040128,,
40,0.033148354719369076,96.50882825040128,81.88976377952756,0.1766118546947837
41,0.03341369028800191,96.50882825040128,,
42,0.028804057480719607,97.51203852327448,,
43,0.03130151512913215,97.35152487961477,,
44,0.02198221632697357,97.91332263242376,,
45,0.026045137013380345,97.55216693418942,,
46,0.02250063424715056,97.79293739967898,,
