Epoch,Good_layer,Ditch,Crater,Waves
10,51.57,92.91,66.93,14.96
20,51.57,93.7,79.53,20.08
30,84.65,79.13,84.65,98.03
40,81.5,91.73,87.8,99.61
50,81.5,89.37,88.19,100.0
60,88.58,94.49,92.13,100.0
70,89.76,95.67,92.13,100.0
80,89.37,96.06,92.52,100.0
90,89.37,94.09,90.55,100.0
100,90.16,94.88,92.13,100.0
110,89.37,95.28,91.73,100.0
120,90.16,95.28,91.73,100.0
130,89.76,95.67,91.73,100.0
140,90.16,95.67,91.73,100.0
150,90.16,95.67,92.13,100.0
