Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.3702236064351522,56.581059390048146,,
2,0.21638041467238694,77.0064205457464,,
3,0.1816758384498266,80.45746388443018,,
4,0.17951260258754095,79.49438202247191,,
5,0.1733735392873104,80.0561797752809,,
6,0.16094798298600393,82.34349919743178,,
7,0.15234688602578947,81.82182985553771,,
8,0.15039755155642828,81.70144462279293,,
9,0.15524415862865937,82.14285714285714,,
10,0.14714946831839207,82.78491171749599,,
10,0.14714946831839207,82.78491171749599,64.56692913385827,0.7885340619832277
11,0.13717251657866514,84.30979133226325,,
12,0.1291925713706475,85.79454253611557,,
13,0.12769549139417136,85.07223113964687,,
14,0.11848384060729773,85.67415730337079,,
15,0.12302049106130233,85.67415730337079,,
16,0.12196982179123622,85.19261637239165,,
17,0.12689120847827348,85.19261637239165,,
