Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.4900440829686629,43.94060995184591,,
2,0.33777479445322967,60.39325842696629,,
3,0.27190535420026535,70.02407704654897,,
4,0.22895393014336243,76.08346709470305,,
5,0.22147774643813953,75.80256821829856,,
6,0.21050964978833994,77.3274478330658,,
7,0.18794628299581698,79.25361155698234,,
8,0.19709969431352922,78.81219903691814,,
9,0.18487075310295972,79.69502407704655,,
10,0.17615229175545466,81.74157303370787,,
10,0.17615229175545466,81.74157303370787,78.74015748031496,0.16198949399404228
11,0.16037206566677645,82.5040128410915,,
12,0.15127507217514974,83.18619582664526,,
13,0.1443998415309649,84.02889245585875,,
14,0.13304485817654774,85.95505617977528,,
15,0.1455739351371542,84.43017656500803,,
16,0.13351393720278373,86.63723916532905,,
17,0.1368533188286118,84.87158908507223,,
18,0.13056094827464756,86.79775280898876,,
19,0.1261283832196242,86.51685393258427,,
20,0.12641735242393154,86.39646869983949,,
20,0.12641735242393154,86.39646869983949,77.55905511811024,0.17368152318522334
21,0.11866209263173051,87.64044943820225,,
22,0.11191167277642168,88.4430176565008,,
23,0.11030130193401606,88.52327447833066,,
24,0.10286522242360008,89.84751203852326,,
25,0.10428865630036363,88.64365971107544,,
26,0.09684992207882878,89.80738362760835,,
27,0.1001860587977064,89.446227929374,,
28,0.10325631327353992,89.446227929374,,
29,0.09682471269311813,90.00802568218299,,
30,0.09499018736040363,90.24879614767255,,
30,0.09499018736040363,90.24879614767255,84.25196850393701,0.14014061237685382
31,0.09173476613628176,90.69020866773675,,
32,0.08519285261774293,92.09470304975923,,
33,0.08928089391869995,91.45264847512038,,
34,0.0871157432691409,91.05136436597111,,
35,0.0853204088500486,91.05136436597111,,
36,0.08453878466613017,91.93418940609952,,
37,0.08536402979053748,91.73354735152488,,
38,0.07917916565799178,92.3354735152488,,
39,0.08741436079025078,91.29213483146067,,
40,0.08302972212624855,92.01444622792937,,
40,0.08302972212624855,92.01444622792937,84.25196850393701,0.13274420553352684
41,0.08449694859341551,91.37239165329053,,
42,0.07880560725998993,92.13483146067416,,
43,0.0791486010241967,92.29534510433388,,
44,0.07082362280776486,93.09791332263242,,
45,0.07203748641320719,93.4991974317817,,
46,0.07559294560446571,93.01765650080257,,
47,0.07461302179413346,92.57624398073835,,
48,0.08089219223564634,92.89727126805778,,
49,0.0748794961732645,92.85714285714286,,
50,0.07100455987100036,93.0577849117175,,
50,0.07100455987100036,93.0577849117175,82.67716535433071,0.13856584997847676
51,0.07087267650506245,92.97752808988764,,
52,0.07509725488340244,92.97752808988764,,
53,0.06812579398497175,93.61958266452648,,
54,0.06594250839537917,93.94060995184591,,
55,0.07261665601235552,92.73675762439807,,
56,0.06749844265122636,93.33868378812198,,
57,0.06929655699059367,93.21829855537722,,
58,0.07552198632262073,92.89727126805778,,
59,0.06620685191442952,93.45906902086676,,
60,0.06925620006707807,92.85714285714286,,
60,0.06925620006707807,92.85714285714286,87.4015748031496,0.1251244923332706
61,0.0681374555405898,93.53932584269663,,
62,0.06783647815553615,93.69983948635634,,
63,0.06658810613533625,94.14125200642054,,
64,0.06618081137705116,93.29855537720707,,
65,0.07021167385391891,93.21829855537722,,
66,0.07317753035861713,93.09791332263242,,
67,0.06869701456087522,93.53932584269663,,
68,0.06527877120802608,93.86035313001605,,
69,0.06763948033898114,93.86035313001605,,
70,0.07010938148372449,92.53611556982342,,
70,0.07010938148372449,92.53611556982342,85.03937007874016,0.12423553911503404
71,0.065485142207203,93.94060995184591,,
72,0.06443680593003638,93.98073836276083,,
73,0.06849418105318761,93.82022471910112,,
74,0.06315540701437455,94.22150882825039,,
75,0.06356934988154815,94.02086677367576,,
76,0.06900882211107856,93.09791332263242,,
77,0.06973984251276423,92.85714285714286,,
78,0.0667243571474384,93.90048154093098,,
79,0.07105786355737692,93.53932584269663,,
80,0.06572651793248951,93.53932584269663,,
80,0.06572651793248951,93.53932584269663,86.22047244094489,0.12148022599285468
81,0.0641172537042831,93.73996789727127,,
82,0.06821757858284773,93.4991974317817,,
83,0.06567722065851857,93.57945425361156,,
84,0.06151500566361042,94.22150882825039,,
85,0.061331177184071675,94.3820224719101,,
86,0.06301560762744302,94.0609951845907,,
87,0.0645480275942156,94.54253611556982,,
88,0.06931351476874298,93.37881219903691,,
89,0.06163073629021454,94.74317817014446,,
90,0.06164602851136946,94.70304975922953,,
90,0.06164602851136946,94.70304975922953,83.85826771653542,0.13726005639182404
91,0.06474163860846789,93.45906902086676,,
92,0.06497326411474018,94.0609951845907,,
93,0.06539519577143857,93.65971107544141,,
94,0.06773240048772632,93.29855537720707,,
95,0.06178833136502176,94.5024077046549,,
96,0.06423872480025658,94.34189406099517,,
97,0.059237074674083255,94.26163723916532,,
98,0.06492107874379517,94.10112359550563,,
99,0.06817867882096042,93.13804173354735,,
100,0.06328941208835787,94.22150882825039,,
100,0.06328941208835787,94.22150882825039,84.64566929133859,0.13424129749182612
101,0.06393336265300138,94.3820224719101,,
102,0.06464365988563842,93.7800963081862,,
103,0.07021627113079795,93.98073836276083,,
104,0.0667850325564639,93.98073836276083,,
105,0.06611681367175128,93.98073836276083,,
106,0.06059275646335804,94.46227929373997,,
107,0.06163466338498088,93.86035313001605,,
108,0.06527318086666174,93.41894060995185,,
109,0.06601592738372393,93.82022471910112,,
110,0.06144595417217948,94.14125200642054,,
110,0.06144595417217948,94.14125200642054,84.25196850393701,0.14841453844564967
111,0.06059155606616957,94.42215088282504,,
112,0.07041502888433826,92.776886035313,,
113,0.06751612508788896,93.13804173354735,,
114,0.060169157112399355,94.66292134831461,,
115,0.06395384221552657,93.86035313001605,,
116,0.057741874136412755,94.58266452648475,,
117,0.06702093391989668,93.21829855537722,,
118,0.06945711948001423,93.94060995184591,,
119,0.06668869091365008,93.61958266452648,,
120,0.05794039452806688,95.06420545746388,,
120,0.05794039452806688,95.06420545746388,84.25196850393701,0.15098943543853238
121,0.06756207515867665,93.45906902086676,,
122,0.06228817347437143,94.30176565008026,,
123,0.06836570420851693,93.25842696629213,,
124,0.06295014794868155,93.86035313001605,,
125,0.06670853195306009,93.94060995184591,,
126,0.06878439634321974,93.09791332263242,,
127,0.0691170595251979,93.7800963081862,,
128,0.07013386907652976,93.21829855537722,,
129,0.06058116133014361,94.42215088282504,,
130,0.06683890154370321,93.57945425361156,,
130,0.06683890154370321,93.57945425361156,82.67716535433071,0.15865944896358997
131,0.06550804268903075,94.0609951845907,,
