Epoch,Good_layer,Ditch,Crater,Waves
10,51.57,92.52,68.5,16.14
20,51.18,88.58,67.32,22.44
30,86.22,96.85,89.37,96.85
40,91.34,96.46,91.73,100.0
50,91.34,98.03,90.94,99.61
60,85.83,91.34,89.76,99.61
70,85.83,92.52,89.37,100.0
80,88.98,92.91,93.31,100.0
90,88.98,92.52,92.91,100.0
100,88.98,92.91,92.13,100.0
110,88.19,93.7,91.73,100.0
120,88.98,93.31,92.13,100.0
130,88.98,92.91,92.91,100.0
140,88.98,92.91,91.73,100.0
150,89.37,92.91,92.91,100.0
