Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.45166979854305583,47.03049759229535,,
2,0.2902801969112494,69.5024077046549,,
3,0.2311946344203674,75.20064205457464,,
4,0.21690598149330187,76.4446227929374,,
5,0.20098640349430916,78.65168539325843,,
6,0.18338812885280603,80.33707865168539,,
7,0.17344692607338613,81.05939004815409,,
8,0.15982270622864747,82.98555377207063,,
9,0.16068558977582517,81.86195826645265,,
10,0.15700673863578302,82.38362760834671,,
10,0.15700673863578302,82.38362760834671,48.031496062992126,0.5485007129609585
11,0.1416733536678247,85.95505617977528,,
12,0.13504851399323878,85.8346709470305,,
13,0.13088280523721224,87.19903691813803,,
14,0.13172356125253898,86.115569823435,,
15,0.12039313654009348,86.91813804173356,,
16,0.12599975047394252,88.0016051364366,,
17,0.11913407904406388,87.19903691813803,,
18,0.11575324438178004,87.52006420545746,,
19,0.10569569277457702,89.20545746388443,,
20,0.10798005528079394,89.36597110754414,,
20,0.10798005528079394,89.36597110754414,81.49606299212599,0.16931438457686454
21,0.09749823320322694,90.56982343499197,,
22,0.10488655778746574,89.64686998394865,,
23,0.09727483726321505,90.48956661316213,,
24,0.09510803893686105,91.01123595505618,,
25,0.09757564139241974,90.52969502407706,,
26,0.09156231903351653,90.7704654895666,,
27,0.08852742281622994,91.49277688603532,,
28,0.08538555854167311,92.13483146067416,,
29,0.08673705318226264,91.89406099518459,,
30,0.08669093878080066,91.09149277688604,,
30,0.08669093878080066,91.09149277688604,83.46456692913385,0.14309323293855414
31,0.07967177914001812,92.37560192616372,,
32,0.07555512996772543,92.93739967897271,,
33,0.08028003649236873,92.65650080256822,,
34,0.07053317853774971,93.09791332263242,,
35,0.07093624856609565,93.01765650080257,,
36,0.07721873136380544,92.85714285714286,,
37,0.06858624920893747,93.86035313001605,,
38,0.08282288347776884,92.09470304975923,,
39,0.0666021405814741,93.90048154093098,,
40,0.07029602241415817,93.41894060995185,,
40,0.07029602241415817,93.41894060995185,84.25196850393701,0.14219612115994096
41,0.06529786344020604,93.69983948635634,,
42,0.06345390507545418,94.5024077046549,,
43,0.06519684579390554,93.41894060995185,,
44,0.06362107118520026,94.18138041733548,,
45,0.0710226849366266,93.73996789727127,,
46,0.06510175226065211,93.4991974317817,,
47,0.06159383902111305,94.14125200642054,,
48,0.059631348408472076,94.34189406099517,,
49,0.06089189575197032,94.02086677367576,,
50,0.05771637782573891,94.62279293739968,,
50,0.05771637782573891,94.62279293739968,84.64566929133859,0.1367308710468933
51,0.05545688536352454,94.70304975922953,,
52,0.06590282329573081,93.7800963081862,,
53,0.06120150566148835,94.86356340288926,,
54,0.057724318879011735,94.66292134831461,,
55,0.0574594896274786,95.26484751203851,,
56,0.06000038189813495,94.70304975922953,,
57,0.05881547051458023,94.46227929373997,,
58,0.05474006998925828,95.30497592295345,,
59,0.05535294267181785,95.14446227929373,,
60,0.05715719669555815,95.34510433386838,,
60,0.05715719669555815,95.34510433386838,83.07086614173228,0.17264256277121603
61,0.05748145947925364,94.90369181380417,,
62,0.05473382738777078,94.9438202247191,,
63,0.05742220841467571,95.10433386837882,,
64,0.05616964382501558,94.90369181380417,,
65,0.052307357122070894,94.90369181380417,,
66,0.054567397554190114,95.10433386837882,,
67,0.05649528394524868,94.9438202247191,,
68,0.05236883412521237,95.34510433386838,,
69,0.05129516916946532,95.74638844301766,,
70,0.05592942288002142,95.18459069020867,,
70,0.05592942288002142,95.18459069020867,84.25196850393701,0.15903131215600297
71,0.055985055822067156,95.14446227929373,,
72,0.05702978874055239,94.46227929373997,,
73,0.05780210332849469,95.06420545746388,,
74,0.05375851487191633,95.38523274478331,,
75,0.05366153021056492,95.30497592295345,,
76,0.04917146898925495,95.6661316211878,,
77,0.05397345270746602,94.90369181380417,,
78,0.05242560302408842,94.86356340288926,,
79,0.05563348317996432,94.30176565008026,,
80,0.05548780477749041,95.02407704654897,,
80,0.05548780477749041,95.02407704654897,84.64566929133859,0.15104773419443518
81,0.052768508539511226,95.26484751203851,,
82,0.05760126620029601,94.98394863563404,,
83,0.0566365483443802,95.38523274478331,,
84,0.04669910800667145,96.46869983948636,,
85,0.05422422421487191,95.14446227929373,,
