Epoch,Training Loss,Training Accuracy,Validation Accuracy,Validation Loss
1,0.4928439274812356,46.02728731942215,,
2,0.290581844556026,71.26805778491172,,
3,0.2308758625235313,77.1669341894061,,
4,0.20509216198936486,78.25040128410915,,
5,0.17980975944262284,80.6179775280899,,
6,0.17935046582267836,80.81861958266452,,
7,0.17023127745741454,80.77849117174961,,
8,0.17294935547770598,80.81861958266452,,
9,0.14907711142530808,84.1091492776886,,
10,0.14247885327308607,84.02889245585875,,
10,0.14247885327308607,84.02889245585875,7.874015748031496,3.9356686174869537
11,0.13695794749909487,84.9518459069021,,
12,0.13025730160566476,85.67415730337079,,
13,0.12137542378443938,86.91813804173356,,
14,0.12376764502662879,86.67736757624398,,
15,0.12358255096926139,86.31621187800963,,
16,0.12504796636028168,87.11878009630819,,
17,0.1179389926390006,87.31942215088283,,
18,0.12030869483565673,86.9983948635634,,
19,0.11565342669685681,87.31942215088283,,
20,0.10926740454175533,88.32263242375602,,
20,0.10926740454175533,88.32263242375602,80.31496062992126,0.21196903754025698
21,0.09923586593224452,89.68699839486356,,
22,0.10176941461096971,89.40609951845907,,
23,0.10612795325234914,88.76404494382022,,
24,0.09233882115819515,89.80738362760835,,
25,0.0896460361396655,90.12841091492777,,
26,0.08960392311788522,90.7704654895666,,
27,0.0867843985175475,90.81059390048154,,
28,0.08661747038459931,91.17174959871589,,
29,0.09691898042383866,89.96789727126806,,
30,0.08691943100152108,91.37239165329053,,
30,0.08691943100152108,91.37239165329053,74.80314960629921,0.21327175828628242
31,0.08211801045884688,91.57303370786516,,
32,0.0820602035532013,91.3322632423756,,
33,0.0793842408232964,91.89406099518459,,
34,0.08022361024258992,91.29213483146067,,
35,0.07651928315560023,92.69662921348315,,
36,0.07851230472517319,91.45264847512038,,
37,0.07671548939572695,92.0545746388443,,
38,0.07424039718432304,92.85714285714286,,
39,0.07683493392780805,92.25521669341894,,
40,0.07164138007479218,93.33868378812198,,
40,0.07164138007479218,93.33868378812198,82.67716535433071,0.14563855715095997
41,0.06999671650238526,92.85714285714286,,
42,0.07543649319081734,92.29534510433388,,
43,0.07095383036022003,92.89727126805778,,
44,0.0738209697823876,92.3354735152488,,
45,0.06511795642570807,93.41894060995185,,
46,0.06742998905097827,93.53932584269663,,
47,0.07187181298071757,92.29534510433388,,
48,0.0701249537941737,93.29855537720707,,
49,0.07298427567076989,92.89727126805778,,
50,0.06493325010897258,94.10112359550563,,
50,0.06493325010897258,94.10112359550563,74.01574803149606,0.239984848536551
51,0.06543253486355145,93.53932584269663,,
52,0.06678963378549387,93.45906902086676,,
53,0.0647265795761576,93.82022471910112,,
54,0.060439580717147924,93.86035313001605,,
55,0.06416856862891179,93.82022471910112,,
56,0.06529584047026359,93.25842696629213,,
57,0.06291959484895834,93.94060995184591,,
58,0.06911034922664747,93.33868378812198,,
59,0.06630748639313075,93.7800963081862,,
60,0.06536787301779558,93.69983948635634,,
60,0.06536787301779558,93.69983948635634,83.85826771653542,0.12765386886894703
61,0.06800517251189703,93.33868378812198,,
62,0.05786201446197736,94.86356340288926,,
63,0.06528508027967735,93.7800963081862,,
64,0.06310034507455733,93.82022471910112,,
65,0.06520458112637965,94.0609951845907,,
66,0.061839164879459604,93.82022471910112,,
67,0.06398457993204013,93.82022471910112,,
68,0.06025837359424585,94.02086677367576,,
69,0.06262526326836684,93.98073836276083,,
70,0.06242870897627794,93.73996789727127,,
70,0.06242870897627794,93.73996789727127,81.10236220472441,0.17337730061262846
71,0.06349285474667947,94.22150882825039,,
72,0.06215252118328443,94.34189406099517,,
73,0.05397371878513159,94.9438202247191,,
74,0.06209898426030309,93.82022471910112,,
75,0.05808814913512041,94.46227929373997,,
76,0.05732585329753466,94.66292134831461,,
77,0.05769295943900943,94.74317817014446,,
78,0.06066006847108022,94.22150882825039,,
79,0.06109843980998565,93.98073836276083,,
80,0.06045423020632603,94.34189406099517,,
80,0.06045423020632603,94.34189406099517,83.46456692913385,0.13837813772261143
81,0.05970579915894912,94.10112359550563,,
82,0.05859383221906729,94.3820224719101,,
83,0.05874996811438065,94.46227929373997,,
84,0.061295660761877514,94.42215088282504,,
85,0.0556880581455353,94.30176565008026,,
86,0.05807302980564344,94.3820224719101,,
87,0.05933183939076769,94.14125200642054,,
88,0.06426786670747858,93.69983948635634,,
89,0.059989203579532795,93.69983948635634,,
90,0.06241824249856365,93.82022471910112,,
90,0.06241824249856365,93.82022471910112,83.46456692913385,0.14873027708381414
91,0.056140547474989526,94.66292134831461,,
92,0.05765306019486907,94.0609951845907,,
93,0.05963961728729117,94.3820224719101,,
94,0.06051362850345098,93.86035313001605,,
95,0.05742430787246961,94.0609951845907,,
