Epoch,Good_layer,Ditch,Crater,Waves
10,58.66,78.74,83.46,100.0
20,80.31,94.09,82.68,99.61
30,87.8,90.94,87.8,100.0
40,87.01,92.13,88.19,100.0
50,88.58,92.13,88.98,100.0
60,89.76,93.31,90.16,100.0
70,88.98,92.52,90.16,100.0
80,88.98,92.13,90.94,100.0
90,89.37,92.91,90.94,100.0
100,90.16,92.52,90.94,100.0
110,89.76,92.52,91.34,100.0
120,89.76,92.91,90.55,100.0
130,89.76,92.52,90.55,100.0
140,89.37,92.52,90.94,100.0
150,89.76,92.91,90.55,100.0
